epoch,loss,lr,val_loss
0,0.0009084282792173326,1e-04,0.0006456552073359489
1,0.00017531804041936994,1e-04,0.0005158314597792923
2,0.00011118515249108896,1e-04,0.0005209229420870543
3,7.576075586257502e-05,1e-04,0.0005898003000766039
4,6.646325346082449e-05,1e-04,0.0005639639566652477
5,5.243835403234698e-05,1e-04,0.0004897291073575616
6,3.295908391010016e-05,1e-04,0.00046914591803215444
7,2.949851841549389e-05,1e-04,0.0005546262254938483
8,2.7171510737389326e-05,1e-04,0.000507888151332736
9,2.4601917175459675e-05,1e-04,0.0005479458486661315
10,1.967068419617135e-05,1e-04,0.0005710553377866745
